ID,Candidate State,Age Range,Residence,Sex,Protected category,TAG,Study area,Study Title,Years Experience,Sector,Last Role,Year of insertion,Recruitment Request,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Overall,Job Description,Candidate Profile,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,Technical Skills,Standing/Position,Comunication,Maturity,Dynamism,Mobility,English,number_of_searches,Hired,Residence Country,Residence Italian Region,Residence Italian Province,Residence Italian City IT,Residence Italian City EN,Italian Residence,European Residence,Assumption HQ Lat,Assumption HQ Lng,Akkodis HQ Lat,Akkodis HQ Lng,Residence Lat,Residence Lon,candidate_text,Distance Residence - Akkodis HQ,Distance Residence - Assumption HQ
511,in selection,20 - 25 years,SAN GIORGIO IN BOSCO » Padua ~ Veneto,Male,False,ELECTRIC DESIGN,Electrical Engineering,Five-year degree,[0],Others,student,[2023],,,,,2.0,,,,,,,,,,,2.0,2.0,2.5,2.0,2.5,3.0,2.5,433.0,False,ITALY,Veneto,Padua,San Giorgio in Bosco,SAN GIORGIO IN BOSCO,True,True,,,,,45.58863,11.80736,Five-year degree in Electrical Engineering. Worked in the Others sector. Last held the role of student. with [0] years of experience. Key skills include: ELECTRIC DESIGN.,,
555,first contact,26 - 30 years,CORRIDONIA » Macerata ~ Marche,Male,False,.,Biomedical Engineering,Five-year degree,[0],Life sciences,nobody,[2022],,,,,2.0,,,,,,,,,,27000.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,93.0,False,ITALY,Marche,Macerata,Corridonia,CORRIDONIA,True,True,,,,,43.2482,13.5075,Five-year degree in Biomedical Engineering. Worked in the Life sciences sector. Last held the role of nobody. with [0] years of experience. Key skills include: ..,,
756,in selection,26 - 30 years,FLORENCE » Florence ~ Tuscany,Male,False,"ALTERYX, TABLEAU",Economic - Statistics,Five-year degree,[3-5],Consulting,business intelligence consultant,[2022],,,,,2.0,,,,,,,,,33000.0,35000.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,964.0,False,ITALY,Tuscany,Florence,Florence,FLORENCE,True,True,,,,,43.7714,11.2542,"Five-year degree in Economic - Statistics. Worked in the Consulting sector. Last held the role of business intelligence consultant. with [3-5] years of experience. Key skills include: ALTERYX, TABLEAU.",,
953,first contact,26 - 30 years,PISA » Pisa ~ Tuscany,Female,False,,computer engineering,Three-year degree,[5-7],,,[2018],,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1384.0,False,ITALY,Tuscany,Pisa,Pisa,PISA,True,True,,,,,43.7167,10.4,Three-year degree in computer engineering. with [5-7] years of experience.,,
1006,hired,> 45 years,MILAN » Milan ~ Lombardy,Male,False,,Other,High school graduation,[+10],Energy,senior buyer,[2019],RS19.0865 -Team Procurement - Milan,Milan,Engineering,,2.0,1 coordinator 1 senior buyer 1 junior buyer,1 coordinator 1 senior buyer 1 junior buyer,[0],,,Professional qualification,Other,Milan,,33000.0,2.5,2.0,2.0,2.5,2.5,2.0,2.0,865.0,True,ITALY,Lombardy,Milan,Milano,MILAN,True,True,45.4669,9.19,45.4669,9.19,45.4669,9.19,High school graduation in Other. Worked in the Energy sector. Last held the role of senior buyer. with [+10] years of experience.,0.0,0.0
1019,first contact,26 - 30 years,SANT'ANTONIO ABATE » Naples ~ Campania,Male,False,.,Biomedical Engineering,Five-year degree,[0],,,[2021],,,,,2.0,,,,,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,464.0,False,ITALY,Campania,Naples,Sant'Antonio Abate,SANT'ANTONIO ABATE,True,True,,,,,40.72152,14.54021,Five-year degree in Biomedical Engineering. with [0] years of experience. Key skills include: ..,,
1038,hired,26 - 30 years,TURIN » Turin ~ Piedmont,Male,False,,Informatics,High school graduation,[1-3],Consulting,system engineer,[2021],"HW, SW, Networking MOS&TGGS Support ",Turin,Engineering,Consultant,2.0,"a. configuration of hw, middleware, sw and networking components b. integration, hw, middleware, sw and networking setting-up validation c. installation and set-up of software products d. support for csci testing activities e. support to the drafting of technical documentation","vmware vsphere, redhat linux os knowledge of networking and network infrastructures, switches, routers first-line hardware maintenance (disk replacement, troubleshooting) linux storage, backup and file system management openldap and kerberos for user management, server and client applications for voip and chat, network monitoring tools (zabbix), it automation and configuration tools (puppet, ansible) scripting capabilities (bash/python)",[3-5],29000.0,33000.0,Three-year degree,computer engineering,Turin,,,2.0,2.0,2.5,3.0,2.0,1.5,3.0,1069.0,True,ITALY,Piedmont,Turin,Torino,TURIN,True,True,45.0792,7.6761,45.0792,7.6761,45.0792,7.6761,High school graduation in Informatics. Worked in the Consulting sector. Last held the role of system engineer. with [1-3] years of experience.,0.0,0.0
1069,in selection,31 - 35 years,BENEVENTO » Benevento ~ Campania,Female,False,"JAVA, JAVA, GROOVY, ANGULAR, SQL, ORACLE, MONGO DB, GIT",computer engineering,Five-year degree,[0-1],Others,software engineer,[2021],,,,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,3.0,264.0,False,ITALY,Campania,Benevento,Benevento,BENEVENTO,True,True,,,,,41.1256,14.7811,"Five-year degree in computer engineering. Worked in the Others sector. Last held the role of software engineer. with [0-1] years of experience. Key skills include: JAVA, JAVA, GROOVY, ANGULAR, SQL, ORACLE, MONGO DB, GIT.",,
1151,hired,> 45 years,ROME » Rome ~ Lazio,Male,False,,Mechanical engineering,Five-year degree,[+10],Defence,project manager,[2022],Business Managers 1,Rome,Business & Sales,Junior Business Manager,2.25,.,.,[3-5],,,Five-year degree,Aeronautical/Aerospace/Astronautics Engineering,Rome,,,2.0,2.75,2.5,2.75,2.5,1.5,3.0,159.0,True,ITALY,Lazio,Rome,Roma,ROME,True,True,41.8931,12.4828,41.8931,12.4828,41.8931,12.4828,Five-year degree in Mechanical engineering. Worked in the Defence sector. Last held the role of project manager. with [+10] years of experience.,0.0,0.0
1174,in selection,26 - 30 years,GENOA » Genoa ~ Liguria,Male,False,PHYSIC,Other scientific subjects,Five-year degree,[0],Others,internship,[2023],,,,,2.0,,,,,,,,,,,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,2.3333333333333335,3.0,974.0,False,ITALY,Liguria,Genoa,Genoa,GENOA,True,True,,,,,44.4072,8.934,Five-year degree in Other scientific subjects. Worked in the Others sector. Last held the role of internship. with [0] years of experience. Key skills include: PHYSIC.,,
1242,qm,26 - 30 years,ARENZANO » Genoa ~ Liguria,Male,False,C++,Other scientific subjects,High school graduation,[0-1],Services and Information Systems,cybersecurity,[2022],,,,,2.6666666666666665,,,,,,,,,,,2.6666666666666665,2.0,2.6666666666666665,2.3333333333333335,2.3333333333333335,2.3333333333333335,3.3333333333333335,937.2,False,ITALY,Liguria,Genoa,Arenzano,ARENZANO,True,True,,,,,44.4035,8.6827,High school graduation in Other scientific subjects. Worked in the Services and Information Systems sector. Last held the role of cybersecurity. with [0-1] years of experience. Key skills include: C++.,,
1301,hired,31 - 35 years,GROTTAGLIE » Taranto ~ Puglia,Female,False,"BIOMEDICAL, CAD FEM, FUNCTIONAL SAFETY, ISO 26262",Biomedical Engineering,Five-year degree,[0-1],Automotive,systems engineer,[2018],,Modena,Engineering,Consultant,3.0,,,,,,,,,27000.0,27000.0,3.0,2.5,3.0,2.5,2.5,2.5,2.0,582.3333333333334,True,ITALY,Puglia,Taranto,Grottaglie,GROTTAGLIE,True,True,44.6458,10.9257,,,40.5333,17.4333,"Five-year degree in Biomedical Engineering. Worked in the Automotive sector. Last held the role of systems engineer. with [0-1] years of experience. Key skills include: BIOMEDICAL, CAD FEM, FUNCTIONAL SAFETY, ISO 26262.",,702.4569821023338
1317,in selection,31 - 35 years,VIMERCATE » Monza-Brianza ~ Lombardy,Male,False,,electronic Engineering,Three-year degree,[0-1],Others,support engineer,[2022],,,,,2.0,,,,,,,,,,,1.5,2.0,2.5,2.0,1.5,1.5,2.0,866.0,False,ITALY,Lombardy,Monza-brianza,Vimercate,VIMERCATE,True,True,,,,,45.6167,9.3667,Three-year degree in electronic Engineering. Worked in the Others sector. Last held the role of support engineer. with [0-1] years of experience.,,
1324,in selection,26 - 30 years,SALSOMAGGIORE TERME » Parma ~ Emilia Romagna,Male,False,"OFFICE, MATLAB, ABAQUS, CAD",chemical engineering,Five-year degree,[0],Others,student,[2023],,,,,2.0,,,,,,,,,,23000.0,2.0,2.0,2.0,2.5,2.5,3.0,3.0,50.0,False,ITALY,Emilia romagna,Parma,Salsomaggiore Terme,SALSOMAGGIORE TERME,True,True,,,,,44.8156,9.9783,"Five-year degree in chemical engineering. Worked in the Others sector. Last held the role of student. with [0] years of experience. Key skills include: OFFICE, MATLAB, ABAQUS, CAD.",,
1333,hired,26 - 30 years,NARDO' » Lecce ~ Puglia,Male,False,"STARCCM+, ANSA, MATLAB, SIMULINK, CATIA",Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0-1],Others,student,[2022],"CAE ANALYSIS ENGINEER - CFD3D air flow, combustion, and thermal management",Turin,Tech Consulting & Solutions,Consultant,2.5,"the tasks the ideal candidate will work in the cfd air flow, combustion and thermal management analysis team supporting the hardware development by usage of virtual tools. is required a robust background on fluid-dynamic field and good capability modeling by commercial cfd software. he/she'll be able to assume the following activities: • evaluation of components/system performances by cfd3d tools • use of standardized methods to execute assigned computational analysis projects according to the analysis catalog • very good knowledge on air flow, combustion and thermal management phenomena and their interactions • support the design development by usage of optimization tools • minimize the analysis iterations by a good capability on scripting and automation • strong collaboration with testing and calibration team to correlate virtual model with experimental results • analyze results, provide expertise, and write detailed reports or new analysis procedures • work with sie (system integration engineer) to establish timing and deliverables for each assigned project • support the cfd methodology development according to the technical leaders' capability growth list possibility of smart working in relation to the needs of project (no full remote)","knowledge and education: • master's degree in aerospace, automotive/mechanical engineering or physics • very good knowledge of fluid dynamic phenomena based on analysis and/or experimental experience (1 years working experience in cfd area is preferred) • knowledge of cfd3d software like star -ccm+ (preferred), converge (preferred), openfoam (preferred), ansys • knowledge of sph (smoothed-particle hydrodynamics) software like particleworks (preferred) or altair nanofluidx, avl preonlab • knowledge of optimization tools like isight (preferred) or others (heeds, modefrontier) • knowledge for java scripting and/or python • knowledge on cfd1d software like gt-power (nice to have) • fluent english both spoken and written soft skills • customer focus • drive for result • problem solving • creativity • effective communication (both written and oral)",[0-1],23000.0,29000.0,Five-year degree,Aeronautical/Aerospace/Astronautics Engineering,Turin,,,2.5,2.0,2.5,2.0,2.5,2.5,3.0,394.0,True,ITALY,Puglia,Lecce,Nardò,NARDO',True,True,45.0792,7.6761,45.0792,7.6761,40.1797,18.0333,"Five-year degree in Aeronautical/Aerospace/Astronautics Engineering. Worked in the Others sector. Last held the role of student. with [0-1] years of experience. Key skills include: STARCCM+, ANSA, MATLAB, SIMULINK, CATIA.",1007.7540858459547,1007.7540858459547
1527,first contact,26 - 30 years,FLORIDIA » Syracuse ~ Sicily,Male,False,"TESTLAB, MATLAB, SIMULINK",Automation/Mechatronics Engineering,Five-year degree,[1-3],Automotive,unemployed,[2022],,,,,2.0,,,,,,,,,,,2.0,2.5,2.0,2.0,2.5,3.0,3.0,182.0,False,ITALY,Sicily,Syracuse,Floridia,FLORIDIA,True,True,,,,,37.0833,15.15,"Five-year degree in Automation/Mechatronics Engineering. Worked in the Automotive sector. Last held the role of unemployed. with [1-3] years of experience. Key skills include: TESTLAB, MATLAB, SIMULINK.",,
1545,hired,> 45 years,GIAVENO » Turin ~ Piedmont,Male,False,"CATIA V5 (PART DESIGN, GENERATIVE SHAPE, ASSEMBLY), CATIA V5, SOLIDWORK, MATLAB, SIMULINK, INVENTOR, SOLID WORKS, AUTOCAD",Other scientific subjects,High school graduation,[+10],Aeronautics,senior designer,[2022],Designer Catia ,Turin,Engineering,Consultant,2.5,"preparation, development, updating and management of cad models and drawings. - preparation of catproducts, catparts, and dwg for: s/s mechanical analysis support s/s mechanical parts design definition (primary structure elements) mechanical icd dwg preparation - preparation of cad models according to tas-i procedure and standard","the resource with catia v5 solid modeling ability and multi-year experience on drafting of mechanical precision components, with experience on positional dimensioning and tolerancing asme y14.5 catia v5 (part design, assembly, drafting, 3d technical annotations and geometric and dimensional tolerances)",[1-3],25000.0,33000.0,Three-year degree,Aeronautical/Aerospace/Astronautics Engineering,Turin,27000.0,31000.0,2.5,2.5,2.0,3.0,2.5,3.0,3.0,528.0,True,ITALY,Piedmont,Turin,Giaveno,GIAVENO,True,True,45.0792,7.6761,45.0792,7.6761,45.042,7.352,"High school graduation in Other scientific subjects. Worked in the Aeronautics sector. Last held the role of senior designer. with [+10] years of experience. Key skills include: CATIA V5 (PART DESIGN, GENERATIVE SHAPE, ASSEMBLY), CATIA V5, SOLIDWORK, MATLAB, SIMULINK, INVENTOR, SOLID WORKS, AUTOCAD.",25.8598847515904,25.8598847515904
1579,hired,31 - 35 years,FLORENCE » Florence ~ Tuscany,Female,False,"SAP, ATLAS, EASYDOC",Political-Social,Three-year degree,[3-5],Life sciences,quality control document technician support,[2019],RS20.0299 - Quality Control Document Technician Support,Poggibonsi,Engineering,,2.5,quality control document technician support,quality control document technician support,[3-5],,,Three-year degree,Other,Poggibonsi,29000.0,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,825.0,True,ITALY,Tuscany,Florence,Florence,FLORENCE,True,True,43.4667,11.15,43.4667,11.15,43.7714,11.2542,"Three-year degree in Political-Social. Worked in the Life sciences sector. Last held the role of quality control document technician support. with [3-5] years of experience. Key skills include: SAP, ATLAS, EASYDOC.",34.88279023946917,34.88279023946917
1636,hired,< 20 years,TURIN » Turin ~ Piedmont,Male,False,OPTICAL,Other scientific subjects,Doctorate,[7-10],Life sciences,r&d engineer,[2023],Physicist/optical specialist with Doctorate,Pisa,Tech Consulting & Solutions,Senior Consultant,3.0,optical design of lens systems that meet the requirements formulated by systems engineers and performance analysis.,as doctoral profiles related to optics preference as sw tools they use: - zemax opticstudio - asap - fred - matlab/python space enthusiasts,[1-3],,,Doctorate,Other scientific subjects,Pisa,,,2.6666666666666665,2.6666666666666665,2.3333333333333335,2.0,2.0,2.3333333333333335,3.0,968.0,True,ITALY,Piedmont,Turin,Torino,TURIN,True,True,43.7167,10.4,43.7167,10.4,45.0792,7.6761,Doctorate in Other scientific subjects. Worked in the Life sciences sector. Last held the role of r&d engineer. with [7-10] years of experience. Key skills include: OPTICAL.,264.57857977864154,264.57857977864154
1664,in selection,< 20 years,GAGGIANO » Milan ~ Lombardy,Male,False,"HW DESIGNER, PROJECT LEADER, PROJECT MANAGEMENT, PROJECT MANAGER, QUALITY, SUPPLY CHAIN, SW DEVELOPMENT",electronic Engineering,Five-year degree,[7-10],Automotive,project manager,[2021],,,,,2.6666666666666665,,,,,,,,,,,2.6666666666666665,3.0,3.0,3.0,1.6666666666666667,1.6666666666666667,3.0,816.3333333333334,False,ITALY,Lombardy,Milan,Gaggiano,GAGGIANO,True,True,,,,,45.4048,9.0349,"Five-year degree in electronic Engineering. Worked in the Automotive sector. Last held the role of project manager. with [7-10] years of experience. Key skills include: HW DESIGNER, PROJECT LEADER, PROJECT MANAGEMENT, PROJECT MANAGER, QUALITY, SUPPLY CHAIN, SW DEVELOPMENT.",,
1828,in selection,31 - 35 years,LATIANO » Brindisi ~ Puglia,Male,False,"-, C#, C/C++, JAVA BACKEND, ML, C DEVELOPER, SYSTEM ENGINEER",computer engineering,Five-year degree,[5-7],Railway,test software and systems engineer,[2021],,,,,1.6666666666666667,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,977.3333333333334,False,ITALY,Puglia,Brindisi,Latiano,LATIANO,True,True,,,,,40.5739,17.7145,"Five-year degree in computer engineering. Worked in the Railway sector. Last held the role of test software and systems engineer. with [5-7] years of experience. Key skills include: -, C#, C/C++, JAVA BACKEND, ML, C DEVELOPER, SYSTEM ENGINEER.",,
1851,first contact,26 - 30 years,LIONS » Avellino ~ Campania,Male,False,"., ASSEMBLY, FIRMWARE, C, MATLAB, SIMULINK, C LANGUAGE",Biomedical Engineering,Five-year degree,[0],,,[2021],,,,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,109.0,False,ITALY,Campania,Avellino,Lioni,LIONS,True,True,,,,,40.88083,15.18335,"Five-year degree in Biomedical Engineering. with [0] years of experience. Key skills include: ., ASSEMBLY, FIRMWARE, C, MATLAB, SIMULINK, C LANGUAGE.",,
1923,in selection,20 - 25 years,NISCEMI » Caltanissetta ~ Sicily,Male,False,"., HTML, CSS, JAVA, REACH",Informatics,Five-year degree,[0-1],Others,test automation developer,[2022],,,,,2.0,,,,,,,,,,,1.0,3.0,3.0,3.0,2.0,1.0,2.0,1052.0,False,ITALY,Sicily,Caltanissetta,Niscemi,NISCEMI,True,True,,,,,37.15,14.3833,"Five-year degree in Informatics. Worked in the Others sector. Last held the role of test automation developer. with [0-1] years of experience. Key skills include: ., HTML, CSS, JAVA, REACH.",,
2082,in selection,26 - 30 years,GENOA » Genoa ~ Liguria,Male,False,"., MOTOR VEHICLE, CALIBRATION, MATLAB",Mechanical engineering,Five-year degree,[0-1],Others,calibrator,[2021],,,,,2.0,,,,,,,,,29000.0,31000.0,2.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,2.0,2.3333333333333335,3.0,517.0,False,ITALY,Liguria,Genoa,Genoa,GENOA,True,True,,,,,44.4072,8.934,"Five-year degree in Mechanical engineering. Worked in the Others sector. Last held the role of calibrator. with [0-1] years of experience. Key skills include: ., MOTOR VEHICLE, CALIBRATION, MATLAB.",,
2153,hired,26 - 30 years,MONOPOLIES » Bari ~ Puglia,Female,False,"EXCEL, MACRO, OFFICE PACKAGE, MICROSOFT PROJECT, EXCEL, , SULPPLY CHAIN",Management Engineering,Five-year degree,[0],,,[2021],Data analyst,Turin,Engineering,Junior Consultant,2.6666666666666665,"the activity includes: 1. data analysis and definition of proposed action plan 2. support for system fill 3. data collection for market activities fundamental requirement: competence in data structure and analysis in excel, in particular knowledge of pivot and macro functions. the activities concern: data collection from the most commonly used sap systems and its structure to implement analysis as a basis for the definition of action plans on the markets. the output of the activities must contain: • data structure that can be used for comparative analyzes and decision-making • pivot tables to define gaps and subsequent action plans • support slides for the presentation of comparative analyzes and action plans data download and insertion into systems to define priorities in the 'action plan data collection as feedback from activities performed on the markets","profile three-year graduate in statistics and/or management engineering excellent use of excel, macro and pivot excellent use of data knowledge of the automotive sector is preferable years of experience of 0-2 years",[1-3],23000.0,27000.0,Three-year degree,Management Engineering,Turin,,,2.3333333333333335,3.0,3.0,2.0,2.6666666666666665,3.0,3.6666666666666665,55.666666666666664,True,ITALY,Puglia,Bari,Monopoli,MONOPOLIES,True,True,45.0792,7.6761,45.0792,7.6761,40.95,17.3,"Five-year degree in Management Engineering. with [0] years of experience. Key skills include: EXCEL, MACRO, OFFICE PACKAGE, MICROSOFT PROJECT, EXCEL, , SULPPLY CHAIN.",907.920453909946,907.920453909946
2163,in selection,< 20 years,ROSIGNANO MARITTIMO » Livorno ~ Tuscany,Male,False,RADAR,Telecommunications Engineering,Five-year degree,[3-5],Defence,radar section chief,[2023],,,,,2.0,,,,,,,,,,,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1081.0,False,ITALY,Tuscany,Livorno,Rosignano Marittimo,ROSIGNANO MARITTIMO,True,True,,,,,43.4,10.4667,Five-year degree in Telecommunications Engineering. Worked in the Defence sector. Last held the role of radar section chief. with [3-5] years of experience. Key skills include: RADAR.,,
